measure,location,sex,age,cause,metric,year,val,upper,lower,colour
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,COPD,Rate,1990,1962.1758617392497,2170.9434763164713,1817.4305419243556,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,COPD,Rate,1990,1437.7942767160685,1622.312914665406,1169.5769384143232,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,COPD,Rate,1990,1663.133013723315,1813.9562306070532,1505.021526546084,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Hearing loss,Rate,1990,462.1358908119324,651.0601513834783,317.3112874929443,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Hearing loss,Rate,1990,407.8277294547802,574.4523253238483,279.7944350458494,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Hearing loss,Rate,1990,433.7589895224224,611.245164610485,297.96147295344724,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Headache disorders,Rate,1990,503.55296017350764,723.7805366917574,328.5288501829087,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Headache disorders,Rate,1990,851.5523096158256,1205.3553729804064,559.3036628503182,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Headache disorders,Rate,1990,676.9976297229672,953.4124381688848,441.8842293206807,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Low back pain,Rate,1990,813.1270334222162,1094.084898715833,580.3662285334829,C
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Low back pain,Rate,1990,966.3004180072408,1293.4968746311038,687.3986641892963,C
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Low back pain,Rate,1990,892.2711329916718,1195.4692914948753,636.6149814499746,C
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,341.62134785255984,470.15393259744684,238.16637169334186,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,395.6016571578567,538.4019665844842,282.7419222850434,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,367.85444806914694,503.87308521429395,260.62673709630883,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Congenital defects,Rate,1990,1338.6318630040566,1740.4654070185331,1183.7472535075788,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Congenital defects,Rate,1990,1194.3714157631898,1333.6241217944234,1078.341913754104,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Congenital defects,Rate,1990,1268.5560251276975,1510.170119751318,1143.3668640948015,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Maternal disorders,Rate,1990,0,0,0,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Maternal disorders,Rate,1990,714.804128926821,763.9315419226357,660.6774167945948,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Maternal disorders,Rate,1990,352.99565863610525,377.21984280506877,326.25283168378917,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Neonatal disorders,Rate,1990,4690.494944296079,5058.407861535866,4361.722858876547,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Neonatal disorders,Rate,1990,3946.869224806758,4182.081478535167,3707.503245192045,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Neonatal disorders,Rate,1990,4331.629514651754,4625.813175778908,4060.307056255005,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Road injuries,Rate,1990,1801.8402469318187,1910.1617006500576,1689.017284436974,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Road injuries,Rate,1990,709.1218025183235,762.0870352572173,646.1623055048211,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Road injuries,Rate,1990,1259.3421778167954,1330.1298798934279,1181.901377329991,A
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Measles,Rate,1990,376.4226251224256,752.3904508143808,167.5464986443628,A
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Measles,Rate,1990,373.4980257537967,744.5000304139589,162.93732747485103,A
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Measles,Rate,1990,375.03660965585885,760.7029572844617,165.51913090010444,A
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Malaria,Rate,1990,74.16978612979311,103.61436762330366,43.35072523137957,A
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Malaria,Rate,1990,93.42019473837023,133.60121631851342,54.696378522621764,A
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Malaria,Rate,1990,83.63244393066248,110.56380965182889,54.45185276721314,A
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,COPD,Rate,1990,2474.8054432027852,2621.427538719956,2332.7596018276413,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,COPD,Rate,1990,2048.2141096441765,2240.9940861385453,1623.2894380846637,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,COPD,Rate,1990,2246.9749649625605,2376.3657870340953,2039.8299728429402,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Hearing loss,Rate,1990,497.15123961072686,702.7335303386616,340.0589659112899,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Hearing loss,Rate,1990,455.5171274657674,643.1243390592159,310.50768601116386,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Hearing loss,Rate,1990,476.0180495155957,672.7014612095891,325.6334389319011,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Road injuries,Rate,1990,1820.5718570100316,1947.4342975805507,1720.6669832936607,A
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Road injuries,Rate,1990,697.055019993206,750.5988304022583,653.8970711523855,A
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Road injuries,Rate,1990,1266.8907844626797,1344.3201244683044,1206.959771272765,A
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Ischaemic heart disease,Rate,1990,2883.6034049400805,3026.0449644039772,2771.682932430212,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Ischaemic heart disease,Rate,1990,1875.060219476088,1985.1623949914087,1807.862029066035,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Ischaemic heart disease,Rate,1990,2369.6355998144318,2483.5371384119435,2301.3903290535636,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Stroke,Rate,1990,2935.3387303440013,3119.0482369721008,2810.6364420471505,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Stroke,Rate,1990,2598.7457592804494,2797.024730499134,2473.183032717401,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Stroke,Rate,1990,2766.962981035517,2950.603861508313,2667.357101441521,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Low back pain,Rate,1990,627.2963989795006,843.7621104313772,449.20293867175013,C
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Low back pain,Rate,1990,750.1317097050797,1009.2904581281965,532.6352959226623,C
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Low back pain,Rate,1990,689.4052790011282,930.2634492439697,490.774224909327,C
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,384.0762916655852,527.0724706373128,268.51406551821077,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,422.9065013468724,573.707587899342,300.649797663886,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,402.8944713399138,549.6776981121936,286.4418335258523,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Congenital defects,Rate,1990,1360.9202425175731,1564.4653850630773,1233.9619234227305,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Congenital defects,Rate,1990,1132.8472166265838,1239.774166868127,1041.1632538759632,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Congenital defects,Rate,1990,1250.8036302021492,1380.0522636374708,1148.6566709963124,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Headache disorders,Rate,1990,455.9651720464554,658.1309010831553,296.8479875240418,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Headache disorders,Rate,1990,715.923410167286,1017.620679402349,465.05512293626924,B
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Headache disorders,Rate,1990,584.1712918515008,834.1048349441768,380.1904349563133,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Malnutrition,Rate,1990,692.4152157537304,788.2971911210717,550.4417072489532,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Malnutrition,Rate,1990,649.3120453723848,736.8089711256739,562.1350508629923,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Malnutrition,Rate,1990,670.22560284117,759.7252916169024,569.1512550528479,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Iron deficiency,Rate,1990,398.4551493092039,579.9779619676714,266.744602927815,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Iron deficiency,Rate,1990,742.2021983385442,1052.8601096985026,504.2987548870647,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Iron deficiency,Rate,1990,569.2693303171378,815.6471655337888,387.7594144020149,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Anxiety disorders,Rate,1991,258.83325508991766,343.8220749404392,183.04731861576352,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Anxiety disorders,Rate,1991,437.05718874455306,583.0488074651636,310.8615739926603,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Anxiety disorders,Rate,1991,348.26506042599436,462.3428870578583,246.1478484786254,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Diabetes,Rate,1991,749.6238286754435,911.3009312857816,618.274749932703,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Diabetes,Rate,1991,700.0117059504302,838.5881960836134,590.9690067030549,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Diabetes,Rate,1991,723.6258271803101,869.5984030817626,604.8208096890075,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Depressive disorders,Rate,1990,433.53715125553674,592.6613445705623,307.7614778279664,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Depressive disorders,Rate,1990,695.4692557087722,948.1752461970804,496.5018560604939,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Depressive disorders,Rate,1990,565.7807408138024,771.5583672273779,402.86935980911096,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Anxiety disorders,Rate,1990,258.82131029849677,345.4429059873173,183.29623603872287,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Anxiety disorders,Rate,1990,437.53201615723947,585.0036216336573,309.71433054589124,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Anxiety disorders,Rate,1990,348.5347570116417,462.5807041281826,246.03380834288228,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Diabetes,Rate,1990,741.8463017544315,903.4656406258323,611.5184469063022,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Diabetes,Rate,1990,695.6989565885701,834.0373374797839,586.8963463831877,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Diabetes,Rate,1990,717.6617451449115,863.5872356529202,599.1960789056822,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Self-harm,Rate,1991,809.04538560691,866.9287093733857,679.3149332394092,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Self-harm,Rate,1991,574.5317110513352,612.5335664609627,553.3748802350093,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Self-harm,Rate,1991,690.8062373271233,724.6433972711562,624.1239728982357,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Self-harm,Rate,1990,802.051483285446,863.4468431424788,673.8196890727761,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Self-harm,Rate,1990,574.0267376177135,614.3090632803112,551.1203374171167,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Self-harm,Rate,1990,686.9397551448012,723.1766085891207,620.5123139048108,A
DALYs (Disability-Adjusted Life Years),High-middle SDI,Male,Age-standardized,Road injuries,Rate,1990,1932.191931971368,2085.838033208458,1828.049412016343,A
DALYs (Disability-Adjusted Life Years),High-middle SDI,Female,Age-standardized,Road injuries,Rate,1990,693.4157434225285,752.5665088379935,644.6618552322475,A
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Road injuries,Rate,1990,1316.7052152254694,1403.8922965924187,1250.330433957479,A
DALYs (Disability-Adjusted Life Years),High SDI,Male,Age-standardized,COPD,Rate,1990,882.0274293157449,926.1718630164273,832.3573301260536,B
DALYs (Disability-Adjusted Life Years),High SDI,Female,Age-standardized,COPD,Rate,1990,496.5047367730817,532.9439991342751,451.94222573488213,B
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,COPD,Rate,1990,650.1651223438718,686.5490661257132,603.725650652624,B
DALYs (Disability-Adjusted Life Years),High-middle SDI,Male,Age-standardized,Hearing loss,Rate,1990,453.5855648437037,639.5039470418266,311.5871081461181,B
DALYs (Disability-Adjusted Life Years),High-middle SDI,Female,Age-standardized,Hearing loss,Rate,1990,407.7778279304489,577.3161624416352,277.90817664371446,B
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Hearing loss,Rate,1990,428.87224254345904,606.2297196022124,293.4485138431438,B
DALYs (Disability-Adjusted Life Years),High SDI,Male,Age-standardized,Lower respiratory infections,Rate,1990,512.2652859156608,522.4185537083282,505.24970879097754,A
DALYs (Disability-Adjusted Life Years),High SDI,Female,Age-standardized,Lower respiratory infections,Rate,1990,297.07135685440244,305.6026715045114,291.3360816141149,A
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Lower respiratory infections,Rate,1990,387.17795473567276,394.3933253030689,382.25924024155466,A
DALYs (Disability-Adjusted Life Years),High SDI,Male,Age-standardized,Meningitis,Rate,1990,68.9415431738336,75.1389381149868,61.499892357497885,A
DALYs (Disability-Adjusted Life Years),High SDI,Female,Age-standardized,Meningitis,Rate,1990,54.72450743840824,59.2303276192059,50.771505066903465,A
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Meningitis,Rate,1990,61.83866325196126,66.13072143097874,57.66604538814618,A
DALYs (Disability-Adjusted Life Years),High SDI,Male,Age-standardized,Measles,Rate,1990,3.051357476148498,4.166709662884184,2.347328047919187,A
DALYs (Disability-Adjusted Life Years),High SDI,Female,Age-standardized,Measles,Rate,1990,3.1230919103421426,4.270315739589098,2.0882758110461555,A
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Measles,Rate,1990,3.0856470840751844,4.204783919647592,2.3348492922129496,A
DALYs (Disability-Adjusted Life Years),High SDI,Male,Age-standardized,Malaria,Rate,1990,0.2931583010519951,0.4328298031564537,0.21465831659914697,A
DALYs (Disability-Adjusted Life Years),High SDI,Female,Age-standardized,Malaria,Rate,1990,0.24407798098533487,0.4339520367132672,0.15564167859655936,A
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Malaria,Rate,1990,0.26819210586984416,0.41262990056403603,0.19078108599153368,A
DALYs (Disability-Adjusted Life Years),High-middle SDI,Male,Age-standardized,Maternal disorders,Rate,1990,0,0,0,B
DALYs (Disability-Adjusted Life Years),High-middle SDI,Female,Age-standardized,Maternal disorders,Rate,1990,145.49365143643752,154.3133751674989,137.5291902729467,B
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Maternal disorders,Rate,1990,71.4817374912819,75.81024927592428,67.56515879182943,B
DALYs (Disability-Adjusted Life Years),High-middle SDI,Male,Age-standardized,Neonatal disorders,Rate,1990,2768.1102001197146,3021.457899197074,2553.441430945691,A
DALYs (Disability-Adjusted Life Years),High-middle SDI,Female,Age-standardized,Neonatal disorders,Rate,1990,2345.165619286374,2530.7028850104202,2161.3776562462217,A
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Neonatal disorders,Rate,1990,2566.588748805274,2779.9201162883537,2385.1369090660664,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Road injuries,Rate,1991,1789.9076788981586,1893.369853589252,1684.2717434823553,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Road injuries,Rate,1991,703.8816548567961,755.21844368932,639.665656558538,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Road injuries,Rate,1991,1250.8764303792811,1319.127437525688,1177.2921591949482,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Tuberculosis,Rate,1990,3194.5605789060264,3484.2388216606423,2966.3846297375576,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2169.180948306648,2407.573182589241,1972.151555311657,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2689.8358558977884,2896.853816421771,2526.17831403224,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,HIV/AIDS,Rate,1990,514.8015875841395,649.8605985191185,420.53649504688315,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,HIV/AIDS,Rate,1990,375.36012053390033,463.9489569072611,308.8712228189645,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,HIV/AIDS,Rate,1990,446.42944395629274,551.9423328269622,368.22492330890884,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Diarrhoeal diseases,Rate,1990,5494.716633346108,7227.484504000605,4151.420410187064,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Diarrhoeal diseases,Rate,1990,5695.997602328905,7071.556970489133,4653.585767540562,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Diarrhoeal diseases,Rate,1990,5595.6118999232785,6720.670621377621,4625.872397183143,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Lower respiratory infections,Rate,1990,5260.221985677637,5802.592160877059,4690.50622842817,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Lower respiratory infections,Rate,1990,5252.748596248284,5746.098007373482,4731.322525973787,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Lower respiratory infections,Rate,1990,5256.644611357682,5656.678968244655,4792.124994770481,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Meningitis,Rate,1990,988.4475908690131,1132.7743949418184,792.431808241254,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Meningitis,Rate,1990,957.1779023600428,1110.5712556982805,737.7601576023121,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Meningitis,Rate,1990,973.6414501432616,1099.6551125000667,800.0150627417742,A
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Ischaemic heart disease,Rate,1990,4000.4527796959865,4269.507572744754,3750.341426366352,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Ischaemic heart disease,Rate,1990,2912.6780250592483,3118.577478295148,2729.7749702010674,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Ischaemic heart disease,Rate,1990,3465.347654888607,3644.690889323013,3302.830132488719,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Stroke,Rate,1990,2859.0846566277687,3034.6926067879394,2675.113105906158,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Stroke,Rate,1990,2581.321276593785,2754.615933780195,2430.3887276818405,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Stroke,Rate,1990,2721.896039401061,2855.176653932407,2596.092411642815,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Low back pain,Rate,1990,746.1282489616765,1006.4531749045926,535.3675143254675,C
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Low back pain,Rate,1990,847.8120438591545,1131.6578416919463,606.8202291030777,C
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Low back pain,Rate,1990,796.0484584105504,1067.72317820253,570.6324866607295,C
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,428.7830173589392,587.6692642444991,301.1413872946483,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,501.29665244896756,675.8777669301211,353.4990880163105,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,464.462586649824,634.0757657179877,327.18603113707707,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Congenital defects,Rate,1990,1448.6481660376478,1939.5646990384284,1250.9627996157844,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Congenital defects,Rate,1990,1335.390067895474,1522.9827530756868,1183.4848796348888,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Congenital defects,Rate,1990,1393.7057228436809,1692.7386783828706,1236.2152271099892,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Headache disorders,Rate,1990,574.4762293956777,828.1633609202219,374.8369670134419,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Headache disorders,Rate,1990,906.8207109143028,1281.2317147115111,593.8866048667728,B
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Headache disorders,Rate,1990,737.9999363222882,1040.6726100294832,481.53180133972916,B
DALYs (Disability-Adjusted Life Years),Low SDI,Male,Age-standardized,Low back pain,Rate,1990,763.8191763170407,1022.8339321842506,551.8395914014554,C
DALYs (Disability-Adjusted Life Years),Low SDI,Female,Age-standardized,Low back pain,Rate,1990,831.2605809475803,1102.6928448324368,598.6154108097921,C
DALYs (Disability-Adjusted Life Years),Low SDI,Both,Age-standardized,Low back pain,Rate,1990,796.1872846663547,1059.752555432961,573.1222905433317,C
DALYs (Disability-Adjusted Life Years),High SDI,Male,Age-standardized,Hearing loss,Rate,1990,382.410882492819,535.8129613824142,261.8065972652082,B
DALYs (Disability-Adjusted Life Years),High SDI,Female,Age-standardized,Hearing loss,Rate,1990,314.5121875523309,439.76974426473356,216.50523069245264,B
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Hearing loss,Rate,1990,345.9742343408686,483.9522653697856,238.2874825683876,B
DALYs (Disability-Adjusted Life Years),Low SDI,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,440.92862130727184,602.1809712064901,309.7177352166243,B
DALYs (Disability-Adjusted Life Years),Low SDI,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,517.084152366584,699.4787313347849,365.14303805139554,B
